X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
1476,46548,-25,2,44,-17,-10,42305,1771,48013,124185,49214,3,2030,-8,1,-19,43396,170097,1561,2089,6,44809
0,909,-25,2,34,-29,-16,1441,1016,-3141,1646,-1327,2,0,-12,2,-23,1578,223481,0,0,-2,-5150
2969,69328,-19,2,23,-17,-10,2394,2413,69383,67085,68356,2,2381,-8,2,-15,67028,103142,2392,2630,6,70459
1079,51739,-19,1,43,-5,-10,1733,4779,18923,49010,49137,3,852,-8,2,-15,53172,53340,0,684,6,17706
2310,1246,-19,2,40,-23,-13,1033,1277,51599,7201,55701,2,2284,-8,1,-19,657,199026,56989,2500,6,51870
368,6886,-19,2,52,-17,-10,2339,1882,356,6172,6504,3,10,-8,1,-15,6188,46220,1081,357,2,424
0,0,-16,2,61,-29,-16,0,0,0,0,0,2,0,-12,1,-23,0,191564,0,0,-2,0
3847,54032,-7,2,60,7,5,3614,2037,56190,56924,60296,2,0,-2,1,1,56810,62176,0,0,14,56162
4753,189265,-19,2,37,-17,-10,168068,8828,149538,16913,199791,1,5376,-8,2,-19,170223,180712,9131,5047,6,148306
1459,28656,-10,2,36,-5,-1,1910,997,29136,26658,27914,2,952,-8,1,-3,26836,31416,0,2086,6,30879
0,36025,-19,2,49,-17,-10,1314,1183,9249,67883,29775,1,192,-8,2,-15,35328,305012,603,5899,2,2406
0,0,-19,1,54,-29,-16,0,0,0,240523,0,1,0,-12,1,-15,0,312543,0,0,-2,0
0,0,-10,1,24,-23,-4,0,0,17986,20735,21878,2,0,-4,2,-7,13119,21171,20235,2985,14,21174
1041,33306,-19,2,55,-17,-10,1893,4549,30086,40503,30353,2,3950,-8,1,-15,29859,27970,2352,3090,6,31483
0,0,-22,2,24,-29,-16,0,0,0,639,0,1,0,-12,2,-19,0,112522,0,0,-2,0
11530,86871,-25,2,34,-23,-16,17022,84404,56908,12777,42175,2,28837,-8,2,-23,16518,475977,37806,19152,6,62340
3453,79013,-19,2,43,-17,-4,7212,0,89368,78388,83960,3,2819,-8,1,-15,77966,77396,3014,3348,6,85697
2270,92630,-13,2,28,-17,-10,77,3190,93389,148619,96933,2,3622,-8,1,-7,132803,137186,3563,4001,6,98314
2877,7684,-19,2,44,-5,-4,2921,0,9609,6448,11425,2,0,-4,1,-15,8452,238423,3138,3076,6,13741
1712,48221,-19,2,41,-17,-10,1916,2058,45482,56622,49542,3,1730,-8,2,-15,46465,79979,1987,1639,6,43225
0,0,-16,2,56,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,255267,0,0,-2,0
0,18556,-19,1,52,-5,-4,4097,0,19176,15370,19953,2,0,-4,1,-15,19276,19975,1397,3065,14,18668
444,45595,-19,2,45,-17,-10,1884,2867,31549,39477,21055,2,9497,-8,2,-15,37090,62598,1384,468,6,13547
11715,4589,-22,2,30,-23,-13,0,4502,0,722,0,2,0,-12,2,-19,0,197265,0,7216,2,6569
4934,11102,-19,1,29,-17,-10,2012,1377,27724,77202,11702,2,21044,-8,1,-15,20491,67923,2981,2119,6,11526
3683,58160,-16,2,38,-5,-4,2964,2962,57501,59109,52730,1,2642,-8,1,-7,57721,283779,0,4118,6,63696
3969,76551,-19,2,44,-17,-10,3120,3900,48970,77842,80084,1,1662,-8,1,-15,79302,76018,10147,1804,6,49027
1663,114070,-19,2,28,-17,-10,5346,3915,48271,116353,45097,3,1658,-8,2,-15,126930,127042,1825,1759,6,44280
3129,26016,-16,2,28,-5,-4,0,3622,24634,24218,27381,1,0,-4,2,-7,27783,29517,1064,1004,6,25636
11865,294819,-19,2,48,-17,-10,12877,14119,340740,352097,302118,2,10796,-8,1,-15,324552,401756,13376,14575,6,275315
2,901,-22,2,32,-23,-10,6840,944,-60,27055,2036,2,61,-10,1,-15,11852,543893,2155,11644,-2,11739
998,18650,-19,1,35,-17,-10,1390,1232,18172,20205,20038,2,987,-8,2,-15,22269,19485,1243,2177,6,20556
4698,95062,-19,2,42,-17,-10,4250,7329,80470,114107,108899,2,2731,-8,1,-15,111112,106196,3573,3421,6,75259
0,1766,-25,2,56,-29,-16,0,1952,0,0,-211,1,190,-12,2,-23,0,171607,1050,4129,-2,3950
2572,280206,-19,1,45,-17,-10,15606,13410,5609,308307,9100,6,191,-8,1,-15,299962,303888,982,2523,2,2356
0,0,-25,2,36,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,146633,0,0,-2,0
0,36605,-13,1,38,-5,-4,1334,1799,36170,33369,33780,2,3722,-4,1,-7,31859,42216,0,4583,14,40242
0,0,-22,2,45,-29,-16,0,0,0,568,0,1,0,-12,1,-19,0,85738,0,0,-2,0
1156,25750,-19,2,37,-17,-10,1482,1583,28702,25490,27628,2,939,-8,2,-15,26920,30950,1500,1503,6,30605
9476,25397,-19,2,37,-17,-10,4057,7694,26611,57128,20967,1,16275,-8,1,-15,41647,296561,0,7595,2,6810
1498,47029,-19,2,42,-17,-10,1697,1709,53859,44853,46320,2,1422,-8,2,-15,44603,132210,1303,1339,6,51228
950,20165,-19,2,31,-17,-10,2055,1496,17348,40226,17649,2,940,-8,2,-15,20915,52563,1154,971,6,18481
4542,88601,-19,2,40,-17,-10,4398,5215,93345,91700,108261,1,0,-4,2,-15,92688,290613,8116,4071,6,106407
5183,85573,-19,2,29,-17,-10,4718,3978,82031,112262,74382,1,9121,-8,2,-15,89545,305680,4390,15357,6,94796
705,13996,-13,1,31,-5,-4,1066,994,16698,13978,15874,2,976,-8,2,-7,13393,18209,1020,1019,6,16385
0,28828,-13,1,46,1,-4,0,5367,28345,25943,32026,3,0,2,1,-7,25004,28261,3375,0,22,27838
0,2402,-22,2,26,-23,-4,17017,0,2090,3038,6005,1,0,-8,2,-19,16582,65611,6278,9774,2,11376
0,3670,-16,2,48,-23,-13,0,3364,0,-12,0,1,0,-12,1,-23,-11,191208,0,0,-2,0
508,12429,-19,1,49,-17,-10,1209,1268,10587,15979,12982,1,533,-8,1,-15,13422,413750,1032,320,6,8152
4138,325,-19,2,33,-23,-13,0,300,318,1889,321,2,317,-10,2,-15,0,335491,323,8388,2,8731
0,342,-22,1,38,-23,-13,581,379,987,699,2910,3,1088,-10,1,-19,506,9722,3311,0,2,0
800,14293,-10,1,47,-17,-10,0,1260,13722,14211,15506,3,552,-8,2,-7,12243,29657,612,729,6,14500
7344,241165,-19,1,45,-17,-10,11872,9028,203363,246392,217884,1,7042,-8,2,-15,235082,260074,7574,8205,6,179329
5020,123246,-19,1,51,-17,-10,4975,4396,92339,129855,104768,2,5267,-8,1,-15,125086,327786,4664,3356,6,82332
203,9766,-19,1,62,-17,-10,1284,1322,9140,7885,9572,3,184,-8,2,-15,8403,9820,960,186,6,10358
270,45953,-19,1,32,-17,-10,1948,1642,35590,51256,36012,2,928,-8,2,-15,43453,244550,1078,951,6,27385
7111,12937,-16,2,46,-17,-10,11897,2085,6834,-136,6880,3,1264,-8,1,-19,10823,148128,1378,1538,6,8407
0,28454,-13,1,34,-17,-4,4917,0,27737,25075,29031,3,1101,-8,2,-7,27761,29407,1159,2161,6,29513
4982,138441,-19,1,28,-17,-10,5702,7518,128354,134025,140009,1,5341,-8,2,-15,131950,146056,4822,5282,6,140052
1896,72949,-19,2,32,-17,-10,2902,3400,57449,87066,72411,2,2098,-8,2,-15,63279,83485,3147,2048,6,51363
757,18399,-19,1,44,-17,-10,1247,1362,18757,19607,21779,2,0,-4,2,-15,17329,49632,4959,724,6,17484
0,6949,-22,2,27,-23,-13,0,6857,3534,4428,6773,3,3065,-8,2,-7,3699,59129,5968,0,6,3405
0,6226,-19,1,22,-17,-4,2400,0,6069,4717,6075,3,132,-8,2,-15,6251,9796,0,0,6,0
1745,52374,-13,2,36,-5,-4,2175,2439,46458,54903,55609,2,2030,-8,2,-7,52632,51191,0,1721,6,51046
0,1390,-25,2,43,-29,-16,0,1312,0,614,0,1,0,-12,1,-23,0,174228,0,1174,2,1182
6324,177533,-19,2,36,-17,-10,6471,6976,178574,169336,165872,1,6089,-8,1,-15,153153,577679,6300,5834,6,175038
1185,30482,-13,1,46,1,2,2525,0,28271,29189,29466,2,1312,-4,1,1,28791,29486,0,1343,14,28629
4653,49137,-19,2,47,-17,-10,3186,2230,56622,50524,48886,1,10691,-8,1,-15,46441,191976,1994,6455,6,61754
3599,159619,-19,1,24,-17,-10,5979,5784,93541,132150,154523,2,4762,-8,2,-15,144224,153961,4906,4006,6,100646
5115,24611,-22,1,54,-17,-13,10822,25867,9006,3753,9959,1,18,-8,1,-19,11006,535526,3,5080,6,9715
2873,47674,-19,1,28,-17,-10,4260,2924,38279,109644,44218,2,2914,-8,2,-15,107532,111729,1932,4808,6,39075
11707,191878,-13,2,32,-5,-4,0,14084,160689,191198,178688,2,6629,-8,2,-7,184583,224134,0,10955,6,172447
845,20532,-22,1,36,-17,-10,4742,17042,870,1381,8098,1,0,-8,2,-15,5628,500904,169,874,2,758
0,2354,-19,2,31,-23,-13,2217,2569,0,2633,2536,3,0,-10,2,-19,2538,105366,2377,0,-2,0
6702,218394,-19,1,34,-17,-10,10367,9672,205701,219967,213936,2,7729,-8,1,-15,249736,392915,7244,7030,6,209338
248,257,-22,2,50,-23,-13,0,266,519,524,268,5,525,-10,1,-7,286,300401,257,11,6,552
954,17805,-13,2,55,-5,-10,2263,2220,19328,13367,19148,3,1009,-4,1,-15,17874,21157,1724,946,14,19924
10619,14938,-25,2,40,-29,-16,0,15474,21485,3063,36451,1,20243,-12,1,-23,0,477277,34935,20910,-2,20876
550,17826,-19,2,52,-17,-10,1598,1342,18257,15945,20152,3,762,-8,1,-15,17062,47809,604,784,6,19844
0,29772,-16,2,45,-17,-4,3063,0,35352,33520,30954,2,3233,-8,1,-7,35510,211726,3040,2159,14,38642
0,1823,-19,2,24,-17,-13,19600,1850,0,16638,1584,2,0,-8,2,-15,32516,129597,0,0,-2,0
4202,122760,-19,2,40,-17,-10,7039,6665,81227,130435,80014,2,3113,-8,1,-15,118510,252107,3904,3093,6,82250
2500,48226,-19,1,45,-17,-10,1868,1521,49835,54261,47330,1,14149,-8,2,-15,42979,50344,1415,1464,6,51619
3117,23152,-16,2,28,-17,-10,0,1872,26612,20894,24389,3,1147,-8,2,-7,20038,103317,1945,904,6,24818
2421,72279,-19,2,35,-23,-10,3777,5767,80947,103458,87546,1,3122,-8,2,-15,87852,346991,96627,2507,6,66927
3998,108608,-19,2,28,-17,-10,4666,5464,96832,88960,95190,2,4008,-8,2,-15,102485,183788,5776,4091,6,115842
2892,75925,-19,1,22,-17,-10,70347,2908,75335,10714,79573,1,3650,-8,2,-15,77848,143675,3621,2967,6,76743
4861,103252,-19,2,52,-17,-10,5944,6235,101786,124518,104135,1,9133,-8,1,-15,113856,121661,4568,0,14,104528
309,8493,-19,1,23,-17,-10,1478,1558,9303,7685,9076,2,1207,-8,2,-15,7575,10796,1168,294,6,8301
5267,695,-22,2,32,-23,-13,693,671,1424,384,740,3,1414,-10,1,-19,752,194851,644,0,6,743
0,0,-16,1,29,-29,-16,0,0,0,0,0,2,0,-12,2,-23,0,49813,0,0,-2,0
0,0,-16,2,35,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,205671,0,0,-2,0
1068,54496,-19,1,44,-17,-10,2644,1701,38360,72697,52728,1,15,-4,1,-15,63232,186458,4279,1575,6,32955
0,1486,-16,1,21,-23,-13,1060,1403,0,0,2311,2,0,-10,2,-19,1016,51793,2328,0,-2,0
1607,33736,-19,2,34,-17,-10,1983,1778,34851,32984,37136,2,1140,-8,1,-15,34297,48783,1659,1402,6,34025
2922,77573,-19,1,53,-17,-10,3930,3400,84700,80072,84136,2,2959,-8,2,-15,85670,90068,4028,2813,6,80926
2863,42338,-22,1,37,-17,-10,1797,9959,63607,38403,21870,3,73016,-10,2,-15,33935,234425,5203,5098,6,44470
961,30954,-16,1,42,-5,-4,0,3825,31415,30006,29288,1,1121,-8,2,-7,30456,28640,0,1093,6,30251
10045,47517,-19,1,31,-17,-10,1651,2026,4246,58897,39804,1,8475,-10,2,-15,46670,403528,1037,6876,2,6506
545,45591,-19,1,33,-17,-10,2469,1541,8242,47989,9349,1,505,-8,2,-15,48767,56179,497,458,6,8830
2498,61549,-13,1,33,-5,-4,5506,1495,58623,52865,60828,2,0,-4,2,-7,54708,95364,3074,4876,14,61608
10165,24313,-22,2,30,-17,-10,5117,3426,31860,18021,37011,1,7645,-8,2,-15,22684,256402,14355,4661,2,4472
1066,20954,-13,1,38,-5,-4,1707,1686,22562,19147,20290,2,728,-8,2,-7,21052,29081,0,2011,6,20439
5082,146566,-19,2,39,-17,-10,5734,7044,145000,169760,137067,1,5295,-8,2,-15,156197,212233,7157,5044,6,161186
698,19909,-19,1,42,-17,-10,1285,1338,20542,19534,19135,2,753,-8,2,-15,21478,47222,646,785,6,18424
1902,41775,-19,2,32,-17,-10,2985,3042,39459,81094,42745,3,1441,-8,1,-15,39798,129498,10237,1743,6,32770
14671,3243,-25,1,59,-23,-16,9032,3161,13086,9842,9071,1,13637,-10,1,-23,8818,277301,9776,16198,-2,15141
420,4362,-25,1,47,-29,-16,275,4116,5424,2138,1043,1,5255,-12,2,-23,237,268854,957,5399,-2,5190
951,24360,-22,1,48,-17,-10,34416,1387,26729,2639,27755,3,1024,-8,1,-19,35340,50873,974,949,6,29347
141,405,-22,1,45,-23,-13,373,411,402,357,0,2,416,-10,1,-19,389,182358,0,917,2,873
956,27526,-16,1,32,-17,-10,0,1498,27365,26910,26720,3,980,-8,1,-7,23924,85689,1527,992,6,27834
0,0,-22,1,38,-23,-13,44226,0,235306,48661,238744,1,5196,-8,2,-19,44123,176677,257177,4987,6,246570
0,7391,-19,1,23,-17,-10,2363,2085,4139,14761,8941,2,1150,-8,2,-15,10063,18831,2295,0,6,0
1938,14246,-19,2,41,-17,-4,2546,1082,15941,12465,14395,3,1060,-8,2,-15,14778,65326,902,1919,6,15908
1695,57697,-19,2,27,-17,-4,4730,2025,54982,66474,54179,1,2057,-8,2,-15,67015,145891,1916,2066,6,52769
26144,56741,-22,2,27,-17,-10,2445,1827,25607,111330,43443,2,3203,-8,2,-15,59252,214097,4534,382,6,18032
1104,3063,-22,2,25,-17,-13,4643,3058,1263,1730,385,3,1178,-10,2,-19,3249,214022,0,383,2,389
1044,21445,-19,2,33,-17,-10,2066,2280,3267,32461,10355,1,3183,-10,2,-15,29060,252705,52,1480,2,1419
77,3782,-22,2,32,-23,-10,2296,1421,3440,188,4055,1,3913,-10,2,-19,2183,262054,4022,76,6,8520
940,27263,-19,2,21,-17,-10,2915,1462,28747,25309,30827,2,960,-8,2,-15,30292,70252,1026,1218,6,30934
0,-3407,-25,1,33,-29,-16,9,23191,-3781,9276,-3307,1,0,-12,1,-23,-2344,218769,0,2945,-2,-2778
0,0,-22,2,23,-23,-10,1616,0,0,1424,476,2,0,-10,1,-15,2626,86406,464,0,-2,0
9577,180715,-22,2,37,-17,-10,47985,7354,198282,146949,195279,2,8189,-8,1,-15,195496,216276,15354,7726,6,201788
0,407,-22,2,29,-23,-4,808,0,2688,397,3156,2,0,-4,1,-19,912,49243,3215,200,14,2205
4279,4315,-22,2,31,-23,-13,1183,4479,3779,3479,7686,2,0,-8,2,-19,1094,277221,7552,2514,2,2635
1470,16865,-13,1,35,-5,-4,1457,580,16205,15652,14899,1,1240,-4,2,-7,15243,28904,0,0,14,15382
0,0,-25,2,51,-29,-16,0,0,0,0,0,2,0,-12,1,-23,0,150497,0,0,-2,0
17477,1052,-16,1,40,-23,-13,4099,981,18907,0,17349,2,394,-8,1,-19,3911,19505,17379,8,6,0
1734,56238,-19,2,37,-17,-10,2013,2377,40449,63919,86154,1,2830,-8,2,-15,55457,73912,1646,1673,6,41429
756,20697,-22,1,31,-17,-13,0,19940,1084,1058,33208,1,1029,-10,2,-19,0,308680,15191,9580,2,8927
787,9164,-22,2,23,-17,-13,372,9613,7698,392,9057,2,272,-8,1,-19,430,11176,679,912,6,7255
5409,53792,-19,1,29,-17,-10,4808,5196,50695,51214,53766,2,4736,-8,2,-15,51827,309661,5018,4656,6,51065
1696,14563,-22,1,33,-23,-10,12408,5612,2398,5897,6758,1,2391,-10,2,-19,12330,267300,6622,14579,2,15425
0,0,-16,2,41,-29,-13,336,0,0,0,0,2,0,-12,1,-19,341,278006,0,0,-2,0
0,10527,-22,2,25,-17,-10,30858,1217,7235,27910,7228,1,6859,-8,2,-19,27776,30238,983,5525,2,5081
0,0,-22,2,30,-29,-16,0,0,0,2934,0,1,0,-12,1,-19,0,197240,0,0,-2,0
4952,162663,-19,2,52,-17,-10,6616,6600,43615,158005,71464,5,4692,-8,2,-15,144650,238548,2594,103823,6,136638
5788,31862,-19,1,26,-17,-10,2437,977,0,60428,0,1,0,-12,2,-15,62163,67880,0,5177,2,5179
3218,87252,-19,2,33,-17,-10,3129,3129,81930,87392,87996,3,3311,-8,1,-15,92793,96415,3046,3146,6,97201
0,12684,-25,2,27,-29,-16,0,11635,0,0,6126,1,0,-12,2,-23,0,344425,6379,0,-2,0
0,101978,-10,2,29,7,2,5472,1917,97449,95892,98341,1,0,0,1,1,105787,97858,6774,0,18,95112
904,5895,-19,1,26,-5,-10,1916,1414,8300,46654,6095,1,2046,-8,1,-15,5697,57857,949,1136,6,4086
2531,69899,-19,2,36,-17,-10,3965,3143,68703,83687,80501,1,2405,-8,1,-15,82921,285429,2355,2545,6,76366
27,2608,-22,2,32,-17,-10,1549,1079,3780,163,3428,3,66,-8,1,-19,1500,174437,948,1285,6,4898
293,547,-22,1,44,-5,-13,0,562,573,282,275,3,563,-10,1,-7,317,191625,0,0,6,297
3418,96723,-19,2,34,-17,-10,9382,5080,82097,114440,95970,3,4024,-8,1,-15,110129,148016,4025,3070,6,85493
4236,139159,-19,1,40,-17,-10,5384,4552,131582,118343,130135,3,3465,-8,1,-15,125523,151591,5292,3658,6,126680
0,0,-16,1,29,-29,-13,5386,0,0,0,0,1,0,-12,2,-19,5643,166362,0,0,-2,0
0,23825,-16,2,55,-5,-4,0,284,24046,23959,24307,3,0,-4,1,-3,24976,28920,2636,1913,14,28823
2630,76345,-19,1,25,-17,-10,3678,2804,66117,80453,72621,2,2972,-8,2,-15,172621,132661,3364,2489,6,71348
3063,11615,-25,2,30,-23,-13,12657,10927,2976,21043,9894,1,3278,-12,2,-23,13592,242360,10931,20770,-2,20112
601,16411,-19,2,31,-17,-4,2970,0,21209,16267,18670,2,1748,-8,1,-15,16814,18860,1415,1046,14,19785
20345,123854,-19,1,39,-17,-4,29302,0,167204,98797,165390,1,19722,-8,1,-15,128673,399560,54971,20024,6,161668
4372,41711,-13,2,23,-17,-4,4794,0,46176,40718,42620,2,2977,-8,2,-7,41501,135944,3023,2061,6,44373
0,-23,-22,1,32,-29,-13,10080,0,-20,12000,-21,1,0,-12,2,-19,10844,391198,0,5245,2,4590
20772,8140,-22,2,31,-23,-13,616,9265,34037,2669,8872,2,30563,-10,2,-19,613,197502,9133,7502,2,7221
25158,219350,-19,2,46,-17,-10,20504,15747,253036,184494,252528,1,18815,-8,1,-15,230806,506348,21342,14462,6,275614
0,28230,-19,1,31,-17,-10,2059,2027,-19,59487,-17,2,0,-12,1,-15,26930,117543,0,0,-2,-18
0,0,-25,1,25,-29,-13,2587,0,0,0,0,2,0,-12,1,-19,2179,392208,0,0,-2,0
859,19021,-19,1,48,1,-10,1492,2915,19296,16347,19982,1,410,-4,3,-15,17314,21489,0,794,6,21420
4621,3804,-16,2,30,-17,-13,0,3839,10757,19970,7155,2,4855,-8,1,-7,1497,185440,5061,9793,6,14711
5539,6079,-25,2,32,-29,-16,16511,6545,24416,20155,13074,1,24479,-12,2,-23,16009,377387,12984,5510,-2,5694
2956,75117,-13,2,30,-17,-10,2876,2767,80096,101812,67316,2,3460,-8,2,-15,73999,120029,3147,2950,6,80880
1436,14696,-13,2,43,-5,-4,499,1950,16392,13747,16748,3,0,-2,2,-7,13478,29140,1378,0,14,15505
8393,323240,-19,2,25,-17,-10,15640,14394,241276,346327,313009,2,8556,-8,1,-15,364284,364920,11642,8972,6,216614
1829,40536,-19,1,27,-17,-10,3568,1682,42870,34466,41601,1,2006,-8,2,-15,35556,118284,1869,2143,6,43182
4117,-2704,-22,1,25,-23,-16,0,0,135203,199,117949,1,4287,-8,2,-19,-2575,182946,130960,4054,6,141091
3243,129590,-19,1,45,-17,-10,6044,4949,85431,190375,109799,2,3022,-8,2,-15,149675,358713,5606,2526,6,69297
3522,8105,-25,1,38,-29,-16,792,7690,73965,2289,73526,1,80134,-12,1,-23,816,499501,75000,76860,-2,74211
0,14309,-22,2,28,-23,-13,17296,13237,13924,15688,16067,1,14341,-10,2,-19,17812,210422,14971,34655,2,36729
19856,32957,-19,2,32,-17,-10,8508,1363,32335,35579,32022,1,2131,-8,2,-15,31811,213098,2115,2927,6,39964
0,0,-16,2,29,-29,-16,0,0,0,0,0,1,0,-12,2,-23,0,158769,0,0,-2,0
1832,1884,-22,2,31,-23,-13,1720,1702,1838,1848,1796,2,1846,-10,2,-19,1745,541579,1738,1530,2,1805
2290,117717,-19,2,36,-17,-10,3773,3235,84059,133589,84418,2,2436,-8,1,-15,124223,287051,2927,3038,6,73888
1491,31552,-22,2,26,-17,-10,2887,5800,36731,120509,36006,1,1399,-8,2,-15,37578,354311,4882,1807,6,35911
737,34592,-19,1,37,-5,-4,3583,0,39482,35743,39202,2,0,-4,1,-15,35256,43682,3086,2103,6,41219
0,20614,-25,2,39,-29,-16,0,21520,0,3356,0,1,0,-12,1,-23,-113,359832,0,0,-2,0
0,0,-13,1,33,-29,-16,0,0,0,2342,0,1,0,-12,1,-7,0,317489,0,0,-2,0
1085,34178,-16,2,23,-17,-10,7,1554,25780,46757,30880,2,1090,-8,2,-7,45548,50195,1541,2163,6,25075
24558,65721,-16,2,37,-17,-10,74605,9352,81517,256673,78096,3,11049,-8,1,-19,55277,260578,10346,20151,6,105208
0,-3157,-22,2,44,-23,-13,6406,21,0,2696,10730,1,0,-10,1,-19,7164,251793,50273,0,-2,0
0,0,-16,2,38,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,206582,0,0,-2,0
2003,56367,-19,2,42,-17,-10,2010,1853,53845,57653,53547,3,1869,-8,1,-15,56432,91939,1975,1916,6,52346
810,19715,-16,1,27,-5,-4,0,998,19214,18257,18904,2,2134,-4,2,-3,19689,18803,0,0,14,20547
0,0,-13,2,56,-29,-16,0,0,0,2309,0,2,0,-12,1,-7,0,222780,0,0,-2,0
70426,33424,-19,1,33,-17,-10,1570,1463,-2017,39420,20663,2,0,-8,2,-15,39487,107296,981,0,-2,-1989
0,197,-22,2,31,-23,-13,191,212,793,199,1001,1,0,-8,2,-19,192,193239,939,898,6,1296
0,8242,-19,2,28,-23,-13,28418,8222,1277,11060,1963,1,1421,-10,2,-15,30772,211856,2456,0,6,1382
371,1789,-22,2,32,-5,-13,0,2420,400,2845,396,1,412,-10,2,-7,1249,175548,0,396,2,414
27943,77220,-19,2,43,-17,-10,20105,40503,77844,61222,125130,2,142,-8,1,-15,63435,501594,86569,19983,6,75635
0,4006,-19,1,23,-17,-10,1318,1183,4931,4098,3934,1,1220,-8,2,-15,3009,9402,286,0,18,4988
10992,46999,-19,2,31,-17,-10,5318,5458,72959,48636,67412,2,10455,-8,2,-15,45527,485750,18089,10238,6,77522
492,23099,-16,1,36,-17,-4,1255,0,25022,26749,23033,3,930,-8,2,-7,23542,31363,1742,1470,6,25054
0,240,-22,2,33,-23,-13,2526,242,-143,232,89,1,133,-10,2,-19,2709,504887,100,0,-2,-142
2025,50802,-19,1,50,-17,-10,2644,1847,50226,75601,54839,2,2135,-8,2,-15,47718,110762,1740,1943,6,55507
0,2218,-25,1,32,-29,-16,6917,1998,4029,4523,6303,2,3984,-12,1,-23,6512,30161,5498,0,-2,0
2078,426,-25,2,45,-29,-16,476,440,412,434,5763,2,427,-12,2,-23,416,208832,5759,57200,-2,61302
3047,67325,-19,1,36,-17,-10,2352,2724,72469,69170,68759,3,2410,-8,1,-15,66489,82968,2359,3650,6,72017
2214,51354,-16,2,26,-17,-10,0,2221,48508,50870,48079,2,2056,-4,2,-7,46763,49672,4056,0,14,50928
2871,46449,-19,1,27,-17,-10,2528,2262,24018,45731,27381,2,1921,-8,2,-15,46583,51983,2058,956,6,24309
0,4025,-19,1,28,-17,-13,529,4159,7422,10840,6207,1,7512,-10,2,-19,508,190044,3373,8144,2,7963
23663,58611,-22,2,31,-17,-13,5416,55631,40271,2308,47369,2,828,-8,1,-19,5708,497663,1008,4383,6,16563
0,56117,-13,2,28,-5,-4,4062,2457,50145,49476,52700,2,0,-4,2,-7,54839,61375,1852,4105,14,55387
2890,12927,-25,2,24,-29,-16,11019,13082,1930,2699,8136,2,1758,-12,2,-23,10991,310304,8182,494,-2,488
0,18835,-19,1,49,-17,-10,1701,1249,398,19070,17602,2,393,-10,2,-15,20405,20671,1120,1320,2,1232
6305,5665,-22,2,31,-23,-13,5629,5348,5445,7520,5161,1,5967,-10,2,-19,5535,208677,6207,5784,2,5681
386,446,-16,2,35,-23,-13,0,1751,562,-310,1142,1,0,-4,1,-23,-700,211369,1192,414,2,420
8375,37326,-22,1,46,-17,-13,2804,37671,17774,16534,33947,3,355,-8,1,-19,2656,257188,1972,69,6,12849
3740,5346,-22,2,26,-17,-13,358,5216,714,390,3881,2,854,-10,2,-19,379,177335,5,444,2,480
0,0,-16,1,65,-29,-16,0,0,0,0,0,1,0,-12,2,-23,0,367266,0,0,-2,0
1055,10696,-19,2,29,-17,-10,1423,1226,12333,7821,11881,2,962,-8,1,-15,10134,70049,1484,2036,6,13843
0,0,-16,1,27,-29,-16,0,0,0,0,0,2,0,-12,2,-23,0,246847,0,0,-2,0
407,6059,-16,2,28,-17,-10,0,1299,7349,4565,7132,2,376,-8,2,-7,5168,10379,1280,399,6,7282
1487,40066,-16,1,42,-5,-4,0,3150,36060,36060,41118,3,0,-4,2,-7,37538,71337,2198,1408,6,39987
6420,16248,-22,2,46,-23,-13,10162,14950,8543,7889,9944,1,8524,-10,1,-19,12718,188571,10061,6606,2,6367
3,23153,-13,2,32,-23,-10,20113,1007,4293,7918,11241,1,6560,-10,1,-19,22467,418598,10841,0,6,1865
0,-3,-25,2,32,-29,-16,0,0,0,-3,320,1,0,-12,2,-23,-3,309866,328,0,-2,0
1453,69553,-13,2,61,-17,-4,6344,0,33204,74350,72863,2,1186,-8,1,-7,68637,70049,3056,1220,6,35215
1514,17764,-19,1,51,-17,-10,1253,1337,19814,18864,18011,2,744,-8,1,-15,18434,19485,787,0,6,38795
0,109601,-19,1,29,-17,-10,8975,2768,29813,172328,47975,4,1057,-8,2,-15,143577,159392,15304,584,6,18234
2002,45048,-19,1,39,-17,-10,3392,2426,51710,39917,45274,3,1867,-8,1,-15,44526,288531,3060,1990,6,52590
0,0,-25,2,41,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,358296,0,0,-2,0
1176,48204,-16,1,36,-17,-10,0,2129,72,52514,21064,2,0,-8,1,-7,47881,48829,1828,29147,2,28216
1869,73489,-13,2,24,-17,-10,0,7127,48933,72378,69772,1,2924,-8,2,-7,78761,75741,2385,1697,6,47991
1579,68160,-19,2,30,-17,-10,2741,3963,29549,75955,41308,2,1935,-8,1,-15,69854,78252,1895,3123,6,33933
958,68804,-19,1,29,-17,-10,2902,3042,29418,62811,55601,2,3641,-8,2,-15,70816,124825,1571,301,6,17343
1022,10824,-19,1,36,-17,-10,2282,1467,10726,17249,10268,2,0,-4,1,-15,10202,18475,767,428,6,7833
41789,10301,-19,2,33,-17,-10,1605,1162,10620,45518,8515,2,294,-8,1,-15,34906,48221,285,1077,6,9452
